payment_id,sale_id,payment_date,amount_paid,payment_method
1,1,2024-01-04,20000.0,UPI
2,2,2024-01-05,12000.0,Cash
3,2,2024-01-06,9000.0,UPI
4,2,2024-01-07,6000.0,UPI
5,3,2024-01-06,27000.0,UPI
6,3,2024-01-07,18000.0,Cash
7,4,2024-01-07,17500.0,Card
8,5,2024-01-08,16000.0,UPI
9,5,2024-01-09,12000.0,UPI
10,5,2024-01-10,8000.0,UPI
11,6,2024-01-09,18000.0,Card
12,6,2024-01-10,12000.0,Cash
13,7,2024-01-10,22500.0,Card
14,8,2024-01-11,14000.0,Cash
15,8,2024-01-12,10500.0,Card
16,8,2024-01-13,7000.0,Cash
17,9,2024-01-12,24000.0,UPI
18,9,2024-01-13,16000.0,UPI
19,10,2024-01-13,15000.0,Card
20,11,2024-01-14,18000.0,Cash
21,11,2024-01-15,13500.0,Cash
22,11,2024-01-16,9000.0,Cash
23,12,2024-01-15,21000.0,Cash
24,12,2024-01-16,14000.0,Card
25,13,2024-01-16,20000.0,UPI
26,14,2024-01-17,12000.0,Cash
27,14,2024-01-18,9000.0,UPI
28,14,2024-01-19,6000.0,Cash
29,15,2024-01-18,27000.0,Card
30,15,2024-01-19,18000.0,Card
31,16,2024-01-19,17500.0,Cash
32,17,2024-01-20,16000.0,UPI
33,17,2024-01-21,12000.0,Cash
34,17,2024-01-22,8000.0,Card
35,18,2024-01-21,18000.0,Card
36,18,2024-01-22,12000.0,Cash
37,19,2024-01-22,22500.0,UPI
38,20,2024-01-23,14000.0,Card
39,20,2024-01-24,10500.0,UPI
40,20,2024-01-25,7000.0,UPI
41,21,2024-01-24,24000.0,Cash
42,21,2024-01-25,16000.0,Cash
43,22,2024-01-25,15000.0,Card
44,23,2024-01-26,18000.0,Cash
45,23,2024-01-27,13500.0,Cash
46,23,2024-01-28,9000.0,Card
47,24,2024-01-27,21000.0,UPI
48,24,2024-01-28,14000.0,Cash
49,25,2024-01-28,20000.0,Card
50,26,2024-01-29,12000.0,UPI
51,26,2024-01-30,9000.0,Cash
52,26,2024-01-31,6000.0,Cash
53,27,2024-01-30,27000.0,Card
54,27,2024-01-31,18000.0,Card
55,28,2024-01-31,17500.0,UPI
56,29,2024-02-01,16000.0,Card
57,29,2024-02-02,12000.0,UPI
58,29,2024-02-03,8000.0,Cash
59,30,2024-02-02,18000.0,Cash
60,30,2024-02-03,12000.0,UPI
61,31,2024-02-03,22500.0,Cash
62,32,2024-02-04,14000.0,Card
63,32,2024-02-05,10500.0,UPI
64,32,2024-02-06,7000.0,Card
65,33,2024-02-05,24000.0,Card
66,33,2024-02-06,16000.0,Card
67,34,2024-02-06,15000.0,Card
68,35,2024-02-07,18000.0,UPI
69,35,2024-02-08,13500.0,UPI
70,35,2024-02-09,9000.0,UPI
71,36,2024-02-08,21000.0,Cash
72,36,2024-02-09,14000.0,Card
